Amharic,Oromo,English
ቃላት ሊገልፁት አይችሉም።,Jechoonni ibsuu hin danda'an.,Words cannot describe it.
ማድረግ የምትችለው ትንሽ ነገር አመሰግናለሁ ማለት ነው።,Wanti xiqqaan ati gochuu dandeessu galatoomaa jechuu qofa.,The least you can do is say thank you.
በብድር መክፈል እችላለሁ?,Liqiin kaffaluu nan danda'aa?,can I pay with a loan?
ይህን ጩሀት ከአሁን በኋላ መታገስ አልችልም።,Kana booda sagalee kana obsuu hin danda'u.,I can't stand this noise anymore.
ይህ ግጥም ሊገባኝ አልቻለም።,Walaloo kana hubachuu hin danda'u.,I can't understand this poem.
ኮምፒውተር መጠቀም ከቻልኩ የበለጠ ሊከፍሉኝ ይችላሉ።,Osoon kompiitara fayyadamuu danda'ee kaffaltii dabalataa naaf kaffaluu danda'u.,"If I can use a computer, they can pay me more."
ምን ማለት እንደሆነ አብራራ።,Sun maal jechuu akka ta'e ibsi.,Explain what that means.
ነገ ጎልፍ ስለመጫወትስ?,Boru goolfii taphachuun akkam ta'a?,What about playing golf tomorrow?
እንደ እድል ሆኖ፣ የሻርክ ንክሻው ምንም አይነት ትልቅ ደም ወሳጅ ቧንቧወችን አልመታም።,"Akka carraa ta'ee, ciniiname shaarkiin kun ujummoolee dhiigaa gurguddoo tokkollee hin rukunne.","Fortunately, the shark bite didn't hit any major arteries."
ወደ ስራ ብትገባ ይሻልሃል።,Hojiitti galuu wayya.,You better get to work.
ቶሎ እንድመጣ ቃል ገባልኝ።,Dafee akka dhufu waadaa naaf gale.,He promised me to come soon.
ሰወች እውነትን አይፈልጉም።,Namoonni dhugaa hin fedhan.,People don't want the truth.
ረድቻለሁ።,Gargaareera.,I helped.
ነገ ቀለበት ስጠኝ።,Boru kupheela naaf kenni.,Give me a ring tomorrow.
ለእርዳታ እርስወን እየፈለጉ ነው።,Gargaarsaf isin ilaalaa jiru.,They are looking to him for help.
በዘመናት አላየሁህም።,Barootaaf si hin argine.,I haven't seen you in ages.
ወጥ ቤት ውስጥ ማንም የለም።,Kushina keessa namni hin jiru.,No one is in the kitchen.
ማረፊያ እፈልጋለሁ።,Boqonnaa barbaachisa.,I need accommodation.
ወድያውኑ ውጤቱን እንደማትጠብቁ ተስፋ አደርጋለሁ።,Bu'aa hatattamaa akka hin eegne abdiin qaba.,I hope you don't expect immediate results.
ትምህርት ቤት በእግር ነው የምትሄደው።,Mana barumsaa miilan deemtaa.,She walks to school.
መፅሃፍ እፈልጋለሁ።,Kitaaban barbaada.,I want a book.
የድሮ መኪናህን መግዛት አልፈልግም።,Konkolaataa kee isa durii bitachuu hin barbaadu.,I don't want to buy your old car.
እኛ አትክልተኞች ነን።,Nuti warra biqiltuu dhaabaniidha.,We are gardeners.
የሚሉትን አውቃለሁ።,Waanan jedhu nan beeka.,I know what they say.
ተረፍን።,Nuti lubbuun hafnerra.,We survived.
የምር ልስምሽ አስበሽ ነበር።,Dhuguma si dhungachuu barbaadee.,I really wanted to kiss you.
ውሃውን ወደ ድስት አምጡ።,Bishaan sana gara distiitti fidaa.,Bring the water to a boil.
ህይወት እንደዚያው ለእሱ ምንም ፍላጎት የለውም።,Jireenyi akkuma jirutti baay'ee isa hin hawwatu.,Life as it is has no interest for him.
ውሻወ ለምን ሙዝ አይለብስም?,Sareen kee maaliif muuzii hin uffattu?,Why doesn't your dog wear a banana?
ይህን ደደብ እቅድ እንድትተው እፈልጋለሁ።,Karoora gowwummaa kana akka dhiiftan barbaada.,I want you to drop this stupid plan.
መኪናየ የት አለ?,Konkolaataan koo eessa jira?,Where is the car?
ምንም ነገር አይንኩ።,Waan tokkollee hin tuqinaa.,Don't touch anything.
ዘመናዊ መርከቦች አነስተኛ ሰራተኞች ብቻ ያስፈልጋቸዋል።,Doonii ammayyaa hojjettoota xiqqaa qofa barbaachisa.,Modern ships require only a small crew.
ስራውን ቀላል ያደርጉታል።,Hojicha salphisaa.,They make the job easier.
በፍጥነት ያሽከረክራል።,Saffisaan konkolaachisa.,He drives fast.
እኔ አስተማሪ አይደለሁም።,Ani barsiisaa miti.,I am not a teacher.
ድመቷ ምንጣፉ ላይ ተቀመጠች።,Adurreen matta'aa irra teessee.,The cat sat on the carpet.
ከእኔ ጋር የሚበላ ነገር መያዝ የሚፈልግ አለ።,Namni waan nyaatamu ana waliin qabachuu barbaadu jiraa.,Someone wants to have something to eat with me.
እሷን ማስደሰት ከብዶኝ ነበር።,Ishee gammachiisuun natti ulfaate ture.,I found it difficult to please her.
ጋዙን ማጥፋት ረሳሁ።,Gaazii dhaamsuu dagadheera.,I forgot to turn off the gas.
መታወቂያው የውሸት ነበር።,Waraqaan eenyummessaa sun sobaa ture.,The ID was fake.
ማክበር ያለብን ይመስለኛል።,Ayyaaneffachuu qabna jedheen yaada.,I think we should celebrate.
ዛሬ ጠዋት በጣም ፀጥታችኋል።,Ganama kana baay'ee callistee jirta.,You are very quiet this morning.
ከልጁ ጋር ካይት በረረ።,Ilma isaa waliin simbirrotti balaliise.,He flew a kite with his son.
ትልቅ ለውጥ ያመጣል።,Jijjiirama guddaa fidaa.,It makes a big difference.
የዱላውን አጭር ጫፍ አግኝተዋል።,Fiixee gabaabaa ulee sanaa argatan.,They got the short end of the stick.
የክፍል ጓደኛየ ነች።,Isheen hiriyyaa daree kooti.,She is a classmate.
በፍጥነት መሮጥ የሚችል ውሻ አለኝ።,Saree saffisaan fiiguu danda'u qabna.,I have a dog that can run fast.
ለቶም እውነቱን እነግራለሁ።,Dhugaa jiru Toomitti nan hima.,I'll tell Tom the truth.
እባካችሁ ይህንን ሚስጥር ጠብቁት።,maaloo iccitii kana eega.,Please keep this a secret.
ማን እንደሰራ አላውቅም።,Eenyu akka hojjete hin beeku.,I don't know who did it.
"መቸ ነው የምትነሳው? ""በስምንት እነሳለሁ።""።","Yoom kaata? ""Sa'aatii saddeetitti ka'a."".","When do you get up ""I get up at eight.""."
ትክክል አይመስለኝም።,Sirrii natti hin fakkaatuu.,I don't think it's right.
መፅሄት ገዛሁት።,Barruulee tokko isaafan bite.,I bought him a magazine.
ዝናቡ ለሶስት ቀናት ቆየ።,Roobni kun guyyaa sadii tureera.,It rained for three days.
እጁን ጠቀለለብኝ።,Harka isaa natti marate.,He wrapped his arms around me.
ቶም ተከተለ።,Toom isa hordofe.,Tom followed.
መፀዳጃ ቤቶች የት አሉ?,Manneen fincaanii eessa jiru?,Where are the toilets?
በምትኖርበት አካባቢ ህይወት ምን ይመስላል?,Jireenyi bakka ati jiraattu maal fakkaata?,What is life like in the area where you live?
እማማ ውሻውን እያጠበችው ስለቆሸሸ ነው።,Harmeen sareen waan xuraa'eef dhiqaa jirti.,Mom is washing the dog because it is dirty.
ያደረግነው ሙከራ ሁሉ ከሽፏል።,Yaaliin keenya hundi fashalaa'e.,All our attempts have failed.
ያ መኪና በጣም ፈጣን ነው።,Konkolaataan sun baayyee saffisaa dha.,That car is very fast.
እግዚአብሄር እኛን ራቁታችንን እንድንሆን አስቦ ቢሆን ኖሮ በዚያ መንገድ እንወለድ ነበር።,Waaqayyo osoo akka nu irraa fagaannu yaadee silaa akkasitti dhalanne turre.,"If God had intended for us to be aloof, we would have been born that way."
