Amharic,English,Oromo,duplication_group,pair_type,language_pair
ቃላት ሊገልፁት አይችሉም።,Jechoonni ibsuu hin danda'an.,Words cannot describe it.,0,trilingual,en_am_or
ማድረግ የምትችለው ትንሽ ነገር አመሰግናለሁ ማለት ነው።,Wanti xiqqaan ati gochuu dandeessu galatoomaa jechuu qofa.,The least you can do is say thank you.,0,trilingual,en_am_or
በብድር መክፈል እችላለሁ?,Liqiin kaffaluu nan danda'aa?,can I pay with a loan?,0,trilingual,en_am_or
ይህን ጩሀት ከአሁን በኋላ መታገስ አልችልም።,Kana booda sagalee kana obsuu hin danda'u.,I can't stand this noise anymore.,0,trilingual,en_am_or
ይህ ግጥም ሊገባኝ አልቻለም።,Walaloo kana hubachuu hin danda'u.,I can't understand this poem.,0,trilingual,en_am_or
ኮምፒውተር መጠቀም ከቻልኩ የበለጠ ሊከፍሉኝ ይችላሉ።,Osoon kompiitara fayyadamuu danda'ee kaffaltii dabalataa naaf kaffaluu danda'u.,"If I can use a computer, they can pay me more.",0,trilingual,en_am_or
ምን ማለት እንደሆነ አብራራ።,Sun maal jechuu akka ta'e ibsi.,Explain what that means.,0,trilingual,en_am_or
ነገ ጎልፍ ስለመጫወትስ?,Boru goolfii taphachuun akkam ta'a?,What about playing golf tomorrow?,0,trilingual,en_am_or
እንደ እድል ሆኖ፣ የሻርክ ንክሻው ምንም አይነት ትልቅ ደም ወሳጅ ቧንቧወችን አልመታም።,"Akka carraa ta'ee, ciniiname shaarkiin kun ujummoolee dhiigaa gurguddoo tokkollee hin rukunne.","Fortunately, the shark bite didn't hit any major arteries.",0,trilingual,en_am_or
ወደ ስራ ብትገባ ይሻልሃል።,Hojiitti galuu wayya.,You better get to work.,0,trilingual,en_am_or
ቶሎ እንድመጣ ቃል ገባልኝ።,Dafee akka dhufu waadaa naaf gale.,He promised me to come soon.,0,trilingual,en_am_or
ሰወች እውነትን አይፈልጉም።,Namoonni dhugaa hin fedhan.,People don't want the truth.,0,trilingual,en_am_or
ረድቻለሁ።,Gargaareera.,I helped.,0,trilingual,en_am_or
ነገ ቀለበት ስጠኝ።,Boru kupheela naaf kenni.,Give me a ring tomorrow.,0,trilingual,en_am_or
ለእርዳታ እርስወን እየፈለጉ ነው።,Gargaarsaf isin ilaalaa jiru.,They are looking to him for help.,0,trilingual,en_am_or
በዘመናት አላየሁህም።,Barootaaf si hin argine.,I haven't seen you in ages.,0,trilingual,en_am_or
ወጥ ቤት ውስጥ ማንም የለም።,Kushina keessa namni hin jiru.,No one is in the kitchen.,0,trilingual,en_am_or
