Amharic	English	Afan Oromo
ቃላት ሊገልፁት አይችሉም።	Words cannot describe it.	Jechoonni ibsuu hin danda'an.
ማድረግ የምትችለው ትንሽ ነገር አመሰግናለሁ ማለት ነው።	The least you can do is say thank you.	Wanti xiqqaan ati gochuu dandeessu galatoomaa jechuu qofa.
በብድር መክፈል እችላለሁ?	can I pay with a loan?	Liqiin kaffaluu nan danda'aa?
ይህን ጩሀት ከአሁን በኋላ መታገስ አልችልም።	I can't stand this noise anymore.	Kana booda sagalee kana obsuu hin danda'u.
ይህ ግጥም ሊገባኝ አልቻለም።	I can't understand this poem.	Walaloo kana hubachuu hin danda'u.
ኮምፒውተር መጠቀም ከቻልኩ የበለጠ ሊከፍሉኝ ይችላሉ።	If I can use a computer, they can pay me more.	Osoon kompiitara fayyadamuu danda'ee kaffaltii dabalataa naaf kaffaluu danda'u.
ምን ማለት እንደሆነ አብራራ።	Explain what that means.	Sun maal jechuu akka ta'e ibsi.
ነገ ጎልፍ ስለመጫወትስ?	What about playing golf tomorrow?	Boru goolfii taphachuun akkam ta'a?
እንደ እድል ሆኖ፣ የሻርክ ንክሻው ምንም አይነት ትልቅ ደም ወሳጅ ቧንቧወችን አልመታም።	Fortunately, the shark bite didn't hit any major arteries.	Akka carraa ta'ee, ciniiname shaarkiin kun ujummoolee dhiigaa gurguddoo tokkollee hin rukunne.
ወደ ስራ ብትገባ ይሻልሃል።	You better get to work.	Hojiitti galuu wayya.
ቶሎ እንድመጣ ቃል ገባልኝ።	He promised me to come soon.	Dafee akka dhufu waadaa naaf gale.
ሰወች እውነትን አይፈልጉም።	People don't want the truth.	Namoonni dhugaa hin fedhan.
ረድቻለሁ።	I helped.	Gargaareera.
ነገ ቀለበት ስጠኝ።	Give me a ring tomorrow.	Boru kupheela naaf kenni.
ለእርዳታ እርስወን እየፈለጉ ነው።	They are looking to him for help.	Gargaarsaf isin ilaalaa jiru.
በዘመናት አላየሁህም።	I haven't seen you in ages.	Barootaaf si hin argine.
ወጥ ቤት ውስጥ ማንም የለም።	No one is in the kitchen.	Kushina keessa namni hin jiru.
ማረፊያ እፈልጋለሁ።	I need accommodation.	Boqonnaa barbaachisa.
ወድያውኑ ውጤቱን እንደማትጠብቁ ተስፋ አደርጋለሁ።	I hope you don't expect immediate results.	Bu'aa hatattamaa akka hin eegne abdiin qaba.
ትምህርት ቤት በእግር ነው የምትሄደው።	She walks to school.	Mana barumsaa miilan deemtaa.
መፅሃፍ እፈልጋለሁ።	I want a book.	Kitaaban barbaada.
የድሮ መኪናህን መግዛት አልፈልግም።	I don't want to buy your old car.	Konkolaataa kee isa durii bitachuu hin barbaadu.
እኛ አትክልተኞች ነን።	We are gardeners.	Nuti warra biqiltuu dhaabaniidha.
የሚሉትን አውቃለሁ።	I know what they say.	Waanan jedhu nan beeka.
ተረፍን።	We survived.	Nuti lubbuun hafnerra.
የምር ልስምሽ አስበሽ ነበር።	I really wanted to kiss you.	Dhuguma si dhungachuu barbaadee.
ውሃውን ወደ ድስት አምጡ።	Bring the water to a boil.	Bishaan sana gara distiitti fidaa.
ህይወት እንደዚያው ለእሱ ምንም ፍላጎት የለውም።	Life as it is has no interest for him.	Jireenyi akkuma jirutti baay'ee isa hin hawwatu.
ውሻወ ለምን ሙዝ አይለብስም?	Why doesn't your dog wear a banana?	Sareen kee maaliif muuzii hin uffattu?
ይህን ደደብ እቅድ እንድትተው እፈልጋለሁ።	I want you to drop this stupid plan.	Karoora gowwummaa kana akka dhiiftan barbaada.
