Amharic,Oromo
ሃይ።,Akkam.
ሩጡ!,Fiiguu!
ሩጡ።,Fiiguu.
ዋዉ!,Ajaa'iba!
ዳክዬ!,Daakiyyee!
እሳት!,Abidda!
እርዳ!,Gargaaruu!
ደብቅ,Dhoksuu.
ዝለል!,Utaaluu!
ዝለል።,Utaaluu.
ጠብቅ!,Eegi!
ጠብቅ።,Eegi.
ጀምር።,Jalqabuu.
ቀጥል።,Itti fufi.
ሀሎ!,Akkam!
ሀሎ።,Akkam.
ገባኝ።,Nan arga.
አሸነፍኩኝ!,Injifadheera!
አሸነፍኩኝ።,Injifadheera.
ዘና በል።,Of gadhiisuu.
ፈገግ ይበሉ።,Qummaaduu.
አዝናለሁ?,Dhiifama?
ጥቃት!,Haleellaa!
ግዛው።,Bitadhaa.
ቺርስ!,Sitti haa tolu!
ብላው።,Nyaadhaa.
ተነሳ።,Ol ka'i.
አሁን ሂድ።,Amma deemi.
አቀፈኝ።,Na hammadhu.
ወደኩኝ።,Kufe.
ሸሸሁ።,Baqadheen ba'e.
አውቃለሁ።,Beeka.
ወጣሁ።,Anis dhiiseen deeme.
ዋሽቻለሁ።,Ani sobe.
ጠፍቶኛል።,Nan mo'ame.
አልፋለሁ።,Ani darba.
እዚህ ጋር አበቃሁ።,Anis dhiiseen ture.
19 አመቴ ነው።,Umuriin koo waggaa 19.
ደህና ነኝ።,Ani OK dha.
ያዳምጡ።,Dhaggeeffachuu.
በጭራሽ!,Gonkumaa hin ta''u!
እውነት?,Dhugaadhumatti?
አመሰግናለሁ!,Galatoomi!
አመሰግናለሁ።,Galatoomi.
ሞክረው።,Yaali.
እንሞክራለን።,Ni yaalla.
አሸንፈናል።,Injifanne.
ቶምን ጠይቅ።,Toomii gaafadhu.
ጠይቁት።,Isa gaafadhu.
ደስ የሚል!,Ajaa'iba!
ተረጋጋ።,Tasgabbaa'aa.
አሪፍ ሁን።,Qabbanaawaa ta'i.
ደግ ሁን።,Gaarummaa qabaadhu.
ጥሩ ይሆናል።,Nama gaarii ta'i.
ምታው።,Itti rukutaa.
ያቃጥሉት።,Gubaa.
ቅበሩት።,Awwaala.
ጥራኝ።,Na waami.
ይደውሉልን።,Nuuf bilbilaa.
በል እንጂ!,Kottu!
በል እንጂ።,Kottu.
ጣሉት!,Itti gadi dhiisaa!
አጣጥፈው።,Dachaasaa.
ቶም ያግኙ።,Toomii argadhu.
ውጣ!,Ba'aa!
ወደዚያ ሂድ!,Narraa deemi!
ወደዚያ ሂድ።,Narraa deemi.
ተመለስ።,Duubatti deebi'i.
ወደቤት ሂድ።,Manatti deebi'aa.
በቀስታ ይሂዱ።,Suuta jedhii deemi.
በህና ሁን!,Nagaatti!
በህና ሁን።,Nagaatti.
ቆይ!,Rarra'aa!
ይሮጣል።,Inni fiiga.
እርዱኝ።,Na gargaaraa.
እርዱን።,Nu gargaaraa.
ያዘው!,Qabadhaa!
ቆይ አንዴ።,Na eegi.
እንዴት ያሳዝናል!,Akkam nama gaddisiisa!
ቶምን ማቀፍ።,Toomii hammadhu.
እሳማማ አለህው።,Aniis walii gala.
አለቀስኩኝ።,jedheen boo'e.
አንዘፈዘፈ።,Hirribaan rafe.
እየነዳሁ ነው።,Ani konkolaachisa.
ነዳሁ።,Konkolaachisee ture.
ተኩስሁ።,Ani dhukaase.
ቀረሁ።,Anis qorraan qabbanaa'e.
አጨሳለሁ።,Ani tamboo xuuxa.
አኩርፋለሁ።,Nan qoonqa.
እሸታለሁ።,Na urgooftuu.
ቆምኩኝ።,Anis dhaabadhe.
ማልኩ።,jedheen kakadhe.
ሞከርኩ።,Yaaleen ture.
እያወዛወኩኝ,jedheen harka koo rukute.
እኔ ቶም ነኝ።,Ani Toomiidha.
ወፍራም ነኝ።,Ani furdaadha.
ብቁ ነኝ።,Ani fit dha.
ተመታሁ!,Ani rukutame!
እኔ አዝኛለሁ።,Gaddeen jira.
ረጥብያለሁ።,Ani jiidheera.
ተቀላቀለን።,Nu waliin ta'aa.
ይምቱት።,Itti rukutaa.
ግደለው።,Ajjeesaa.
ዝቅ ብለህ ተኛ።,Gad ciisi.
ቆልፈው።,Qulfii godhaa.
ክፈተው።,Bani.
መክፈት።,Bani.
አጣምር።,Lamaan lama ta'uu.
ፍፁም!,Mudaa kan hin qabne!
ይጎትቱት።,Harkisaa.
ግፋው።,Dhiibaa.
አንገናኛለን!,Nagaatti!
አንገናኛለን።,Nagaatti.
አሳየኝ።,Natti agarsiisi.
ዝም በል!,Afaan kee qabi!
ይዝለሉት።,Itti darbi.
በጣም ረጅም።,Akkas dheeraa.
ንገረኝ።,Natti himi.
ተነሽ!,Dammaqi!
ተነሽ።,Dammaqi.
መታጠብ።,Dhiqadhu.
ግድ ይለናል።,Nu dhimmi ilaalla.
ተሸንፈናል።,Mo'amne.
እንኳን ደህና መጣህ።,Baga nagaan dhufte.
ማን ሮጦ ነበር?,Eenyuutu fiige?
ማን አሸነፈ?,Eenyutu injifate?
ትሮጣለህ።,Ati fiigda.
ታሸንፋለህ።,Ati injifatta.
ከፍ ያለ ኣላማ ያድርጉ።,Kaayyoo ol kaasuu.
ወፍራም ነኝ?,Ani furdaa?
ጠይቃቸው።,Isaan gaafadhu.
ዘወር በል!,Duubatti deebi'aa!
ዘወር በል።,Duubatti deebi'aa.
አጭር ሁን።,Gabaabduu ta'i.
ቶም ይደውሉ።,Toomiif bilbilaa.
ተደሰት!,Gammachuu!
አሪፍ ነው!,Qabbanaa'aa!
ሸፍነኝ።,Na haguuggii.
ያፍሩት።,Cuff isa.
ይንዱ።,Konkolaachisaa itti fufaa.
ይህንን አስተካክል።,Kana sirreessaa.
ውጣ!,Achi irraa fagaadhaa!
ውጣ።,Achi irraa fagaadhaa.
ወገድ!,Bade!
ወገድ።,Bade.
እውን ሁን!,Dhugaa argadhu!
ቀጥልበት።,Itti fufi.
ቶምን ያዙ።,Toomii qabadhu.
ያዙት።,Isa qabadhu.
ይዝናኑ።,Taphadhu.
ይሞክራል።,Ni yaala.
እሱ እርጥብ ነው።,Inni jiidha.
ቶምን ይርዱ።,Toom gargaaraa.
ስታምር!,Akkam namatti tola!
ምን ያህል ጥልቅ ነው?,Hammam gadi fageenya?
እንዴት ደስ ይላል!,Akkam namatti tola!
እንዴት ያለ ባለጌ!,Akkam gara jabeessa!
ፍጥን።,Daddafi.
እኔ ቶም ነኝ።,Ani Toom jedhama.
እሺ አደረግሁ።,OK jedheen hojjedhe.
አድርጌዋለሁ።,Anis nan raawwadhe.
ረሳሁ።,Dagadheera.
ገብቶኛል።,Na argadha.
ጮህኩኝ።,Anis goofdhe.
አገኘሁት።,Na argadheera.
ዘለሁ።,jedheen utaale.
ተመለከትኩ።,jedheen ilaale.
አለቀስኩ።,jedheen boo'e.
ራሴን ነቀነቅኩ።,jedheen mataa koo rukute.
ታዘዝኩኝ።,Anis ajajame.
ስልክ ደወልኩ።,Bilbilaan bilbile.
አረፍኩኝ።,Boqodhe.
አይቼዋለሁ።,Anis argeera.
ተነፈስኩ።,jedheen hafuura baafadhe.
ፈገግ አልኩኝ።,jedheen kolfe.
ቆየሁ።,Anis hafe.
ተናገርኩኝ።,jedheen haasa'e.
እኔ እጠቀማለሁ።,Ani itti fayyadama.
እኔ እከፍላለሁ።,Ani nan kaffala.
እሞክራለሁ።,Ani nan yaala.
ተመልሻለሁ።,Ani deebi'eera.
መላጣ ነኝ።,Ani rifeensa mataa qaba.
በርዶኛል።,Ani qorraan qaba.
ደህና ነኝ።,Ani qabbanaa'aa dha.
መስማት የተሳነኝ ነኝ።,Ani gurri koo hin dhageenye.
እ'ም ዶነ።,Ani xumureera.
